OriginalName,Organizations,Type,CleanName,CleanNameNoMiddle,IsDuplicate
"Donnelly, Mary-Lou",Canada Employment Insurance Commission,Govenor In Council Appointments,"Donnelly, Mary-Lou","Donnelly, Mary-Lou",FALSE
"Levonian, Louise",Canada Employment Insurance Commission,Govenor In Council Appointments,"Levonian, Louise","Levonian, Louise",FALSE
"Brown, Lynda",Canada Foundation for Innovation,Govenor In Council Appointments,"Brown, Lynda","Brown, Lynda",FALSE
"Kelly-Gagnon, Michel",Canada Foundation for Innovation,Govenor In Council Appointments,"Kelly-Gagnon, Michel","Kelly-Gagnon, Michel",FALSE
"Beaudet, Alain","Canada Foundation for Innovation,?Canadian Institutes of Health Research",Govenor In Council Appointments,"Beaudet, Alain","Beaudet, Alain",FALSE
"Bradlow, John",Canada Foundation for Sustainable Development Technology,Govenor In Council Appointments,"Bradlow, John","Bradlow, John",FALSE
"Kavanagh, Sarah",Canada Foundation for Sustainable Development Technology,Govenor In Council Appointments,"Kavanagh, Sarah","Kavanagh, Sarah",FALSE
"Lee, Jason",Canada Foundation for Sustainable Development Technology,Govenor In Council Appointments,"Lee, Jason","Lee, Jason",FALSE
"Lunn, Gary",Canada Foundation for Sustainable Development Technology,Govenor In Council Appointments,"Lunn, Gary","Lunn, Gary",FALSE
"McGregor, Ellen",Canada Foundation for Sustainable Development Technology,Govenor In Council Appointments,"McGregor, Ellen","McGregor, Ellen",FALSE
"Berthiaume, Annie",Canada Industrial Relations Board,Govenor In Council Appointments,"Berthiaume, Annie","Berthiaume, Annie",FALSE
"Charbonneau, Daniel",Canada Industrial Relations Board,Govenor In Council Appointments,"Charbonneau, Daniel","Charbonneau, Daniel",FALSE
"Clarke, Graham",Canada Industrial Relations Board,Govenor In Council Appointments,"Clarke, Graham","Clarke, Graham",FALSE
"Fecteau, Louise",Canada Industrial Relations Board,Govenor In Council Appointments,"Fecteau, Louise","Fecteau, Louise",FALSE
"Lecavalier, Andr_",Canada Industrial Relations Board,Govenor In Council Appointments,"Lecavalier, Andr_","Lecavalier, Andr_",FALSE
"M_nard, Ga_tan",Canada Industrial Relations Board,Govenor In Council Appointments,"M_nard, Ga_tan","M_nard, Ga_tan",FALSE
"Rivard, Normand",Canada Industrial Relations Board,Govenor In Council Appointments,"Rivard, Normand","Rivard, Normand",FALSE
"Smith, Allison",Canada Industrial Relations Board,Govenor In Council Appointments,"Smith, Allison","Smith, Allison",FALSE
"Houle, Jocelyne",Canada Lands Company Limited,Govenor In Council Appointments,"Houle, Jocelyne","Houle, Jocelyne",FALSE
"Jenkins, Toby",Canada Lands Company Limited,Govenor In Council Appointments,"Jenkins, Toby","Jenkins, Toby",FALSE
"Macos, Nicholas",Canada Lands Company Limited,Govenor In Council Appointments,"Macos, Nicholas","Macos, Nicholas",FALSE
"McBain, John",Canada Lands Company Limited,Govenor In Council Appointments,"McBain, John","McBain, John",FALSE
"Poirier-Landry, Louise",Canada Mortgage and Housing Corporation,Govenor In Council Appointments,"Poirier-Landry, Louise","Poirier-Landry, Louise",FALSE
"Shirreff, Bruce",Canada Mortgage and Housing Corporation,Govenor In Council Appointments,"Shirreff, Bruce","Shirreff, Bruce",FALSE
"Bourne, Ian",Canada Pension Plan Investment Board,Govenor In Council Appointments,"Bourne, Ian","Bourne, Ian",FALSE
"Choquette, Pierre",Canada Pension Plan Investment Board,Govenor In Council Appointments,"Choquette, Pierre","Choquette, Pierre",FALSE
"Hassan, Tahira",Canada Pension Plan Investment Board,Govenor In Council Appointments,"Hassan, Tahira","Hassan, Tahira",FALSE
"Munroe-Blum, Heather",Canada Pension Plan Investment Board,Govenor In Council Appointments,"Munroe-Blum, Heather","Munroe-Blum, Heather",FALSE
"Sheriff, Karen",Canada Pension Plan Investment Board,Govenor In Council Appointments,"Sheriff, Karen","Sheriff, Karen",FALSE
"Taylor, Kathleen",Canada Pension Plan Investment Board,Govenor In Council Appointments,"Taylor, Kathleen","Taylor, Kathleen",FALSE
"Wallace, Murray",Canada Pension Plan Investment Board,Govenor In Council Appointments,"Wallace, Murray","Wallace, Murray",FALSE
"Chopra, Deepak",Canada Post Corporation,Govenor In Council Appointments,"Chopra, Deepak","Chopra, Deepak",FALSE
"Desjardins, Michèle",Canada Post Corporation,Govenor In Council Appointments,"Desjardins, Michèle","Desjardins, Michèle",FALSE
"Sans Cartier, Alain",Canada Post Corporation,Govenor In Council Appointments,"Sans Cartier, Alain","Sans Cartier, Alain",FALSE
"Woodley, Donald",Canada Post Corporation,Govenor In Council Appointments,"Woodley, Donald","Woodley, Donald",FALSE
"Bourke, Myles",Canada Revenue Agency,Govenor In Council Appointments,"Bourke, Myles","Bourke, Myles",FALSE
"Buonpensiere, Rossana",Canada Revenue Agency,Govenor In Council Appointments,"Buonpensiere, Rossana","Buonpensiere, Rossana",FALSE
"Hayes, Susan",Canada Revenue Agency,Govenor In Council Appointments,"Hayes, Susan","Hayes, Susan",FALSE
"Lalani, Fauzia",Canada Revenue Agency,Govenor In Council Appointments,"Lalani, Fauzia","Lalani, Fauzia",FALSE
"Martel-Vaillancourt, Francine",Canada Revenue Agency,Govenor In Council Appointments,"Martel-Vaillancourt, Francine","Martel-Vaillancourt, Francine",FALSE
"Melhorn, Margaret",Canada Revenue Agency,Govenor In Council Appointments,"Melhorn, Margaret","Melhorn, Margaret",FALSE
"Sumara, Joyce",Canada Revenue Agency,Govenor In Council Appointments,"Sumara, Joyce","Sumara, Joyce",FALSE
"Thorpe, Richard",Canada Revenue Agency,Govenor In Council Appointments,"Thorpe, Richard","Thorpe, Richard",FALSE
"Cicnjak-Chubbs, Lidija",Canada-Newfoundland and Labrador Offshore Petroleum Board,Govenor In Council Appointments,"Cicnjak-Chubbs, Lidija","Cicnjak-Chubbs, Lidija",FALSE
"Hickman, Cynthia",Canada-Newfoundland and Labrador Offshore Petroleum Board,Govenor In Council Appointments,"Hickman, Cynthia","Hickman, Cynthia",FALSE
"Sullivan, Conrad",Canada-Newfoundland and Labrador Offshore Petroleum Board,Govenor In Council Appointments,"Sullivan, Conrad","Sullivan, Conrad",FALSE
"Tessier, Scott",Canada-Newfoundland and Labrador Offshore Petroleum Board,Govenor In Council Appointments,"Tessier, Scott","Tessier, Scott",FALSE
"Williams, Ed",Canada-Newfoundland and Labrador Offshore Petroleum Board,Govenor In Council Appointments,"Williams, Ed","Williams, Ed",FALSE
"Gregory, Douglas",Canada-Nova Scotia Offshore Petroleum Board,Govenor In Council Appointments,"Gregory, Douglas","Gregory, Douglas",FALSE
"Lewis, Brian",Canada-Nova Scotia Offshore Petroleum Board,Govenor In Council Appointments,"Lewis, Brian","Lewis, Brian",FALSE
"Pinks, Stuart",Canada-Nova Scotia Offshore Petroleum Board,Govenor In Council Appointments,"Pinks, Stuart","Pinks, Stuart",FALSE
"Benoit, Paul",Canadian Air Transport Security Authority,Govenor In Council Appointments,"Benoit, Paul","Benoit, Paul",FALSE
"Dufour, Jean-Marc",Canadian Air Transport Security Authority,Govenor In Council Appointments,"Dufour, Jean-Marc","Dufour, Jean-Marc",FALSE
"Koop, Dora",Canadian Air Transport Security Authority,Govenor In Council Appointments,"Koop, Dora","Koop, Dora",FALSE
"Souccar, Rafik",Canadian Air Transport Security Authority,Govenor In Council Appointments,"Souccar, Rafik","Souccar, Rafik",FALSE
"Watt, Angus",Canadian Air Transport Security Authority,Govenor In Council Appointments,"Watt, Angus","Watt, Angus",FALSE
Meyers Norris Penny LLP,"Canadian Beef Cattle Research, Market Development & Promotion Agency",Govenor In Council Appointments,Meyers Norris Penny LLP,Meyers Norris Penny LLP,FALSE
"Chong, Sonja",Canadian Broadcasting Corporation,Govenor In Council Appointments,"Chong, Sonja","Chong, Sonja",FALSE
"Gingras, Pierre",Canadian Broadcasting Corporation,Govenor In Council Appointments,"Gingras, Pierre","Gingras, Pierre",FALSE
"Jeffery, Robert",Canadian Broadcasting Corporation,Govenor In Council Appointments,"Jeffery, Robert","Jeffery, Robert",FALSE
"Lacroix, Hubert",Canadian Broadcasting Corporation,Govenor In Council Appointments,"Lacroix, Hubert","Lacroix, Hubert",FALSE
"Larkin, Marni",Canadian Broadcasting Corporation,Govenor In Council Appointments,"Larkin, Marni","Larkin, Marni",FALSE
"May, Norman",Canadian Broadcasting Corporation,Govenor In Council Appointments,"May, Norman","May, Norman",FALSE
"McCaw, Maureen",Canadian Broadcasting Corporation,Govenor In Council Appointments,"McCaw, Maureen","McCaw, Maureen",FALSE
"Oden, Marlie",Canadian Broadcasting Corporation,Govenor In Council Appointments,"Oden, Marlie","Oden, Marlie",FALSE
"Racine, R_mi",Canadian Broadcasting Corporation,Govenor In Council Appointments,"Racine, R_mi","Racine, R_mi",FALSE
"Beckett, John",Canadian Centre for Occupational Health and Safety,Govenor In Council Appointments,"Beckett, John","Beckett, John",FALSE
"Botelho, Helder",Canadian Centre for Occupational Health and Safety,Govenor In Council Appointments,"Botelho, Helder","Botelho, Helder",FALSE
"Dennis, Sophie",Canadian Centre for Occupational Health and Safety,Govenor In Council Appointments,"Dennis, Sophie","Dennis, Sophie",FALSE
"Germain, Phillip",Canadian Centre for Occupational Health and Safety,Govenor In Council Appointments,"Germain, Phillip","Germain, Phillip",FALSE
"Grundy, David",Canadian Centre for Occupational Health and Safety,Govenor In Council Appointments,"Grundy, David","Grundy, David",FALSE
"Henney, Kimberley",Canadian Centre for Occupational Health and Safety,Govenor In Council Appointments,"Henney, Kimberley","Henney, Kimberley",FALSE
"Horvath, Stevan",Canadian Centre for Occupational Health and Safety,Govenor In Council Appointments,"Horvath, Stevan","Horvath, Stevan",FALSE
"Pouliot, Marcel",Canadian Centre for Occupational Health and Safety,Govenor In Council Appointments,"Pouliot, Marcel","Pouliot, Marcel",FALSE
"Kapoor, Renu",Canadian Centre on Substance Abuse,Govenor In Council Appointments,"Kapoor, Renu","Kapoor, Renu",FALSE
"McFarlane, Audrey",Canadian Centre on Substance Abuse,Govenor In Council Appointments,"McFarlane, Audrey","McFarlane, Audrey",FALSE
"Notarandrea, Rita",Canadian Centre on Substance Abuse,Govenor In Council Appointments,"Notarandrea, Rita","Notarandrea, Rita",FALSE
"Bassan, Daniela",Canadian Commercial Corporation,Govenor In Council Appointments,"Bassan, Daniela","Bassan, Daniela",FALSE
"Castelli, Ray",Canadian Commercial Corporation,Govenor In Council Appointments,"Castelli, Ray","Castelli, Ray",FALSE
"Lucas, Dwayne",Canadian Commercial Corporation,Govenor In Council Appointments,"Lucas, Dwayne","Lucas, Dwayne",FALSE
"Robillard, Claude",Canadian Commercial Corporation,Govenor In Council Appointments,"Robillard, Claude","Robillard, Claude",FALSE
"Rowe, Derrick",Canadian Commercial Corporation,Govenor In Council Appointments,"Rowe, Derrick","Rowe, Derrick",FALSE
"Saxton, Andrew",Canadian Commercial Corporation,Govenor In Council Appointments,"Saxton, Andrew","Saxton, Andrew",FALSE
"Sorocky, Stephen",Canadian Commercial Corporation,Govenor In Council Appointments,"Sorocky, Stephen","Sorocky, Stephen",FALSE
"Verkindt, Nicole",Canadian Commercial Corporation,Govenor In Council Appointments,"Verkindt, Nicole","Verkindt, Nicole",FALSE
"Zablocki, Martin",Canadian Commercial Corporation,Govenor In Council Appointments,"Zablocki, Martin","Zablocki, Martin",FALSE
"Gagn_, Martin","Canadian Commercial Corporation,?Independent Review Panel for Defence Acquisition",Govenor In Council Appointments,"Gagn_, Martin","Gagn_, Martin",FALSE
"Bulger, Stephen",Canadian Cultural Property Export Review Board,Govenor In Council Appointments,"Bulger, Stephen","Bulger, Stephen",FALSE
"Buttignol, Rudy",Canadian Cultural Property Export Review Board,Govenor In Council Appointments,"Buttignol, Rudy","Buttignol, Rudy",FALSE
"Epstein, Clarence",Canadian Cultural Property Export Review Board,Govenor In Council Appointments,"Epstein, Clarence","Epstein, Clarence",FALSE
"Feheley, Patricia",Canadian Cultural Property Export Review Board,Govenor In Council Appointments,"Feheley, Patricia","Feheley, Patricia",FALSE
"Forrestall, William",Canadian Cultural Property Export Review Board,Govenor In Council Appointments,"Forrestall, William","Forrestall, William",FALSE
"Lacoursière, Alain",Canadian Cultural Property Export Review Board,Govenor In Council Appointments,"Lacoursière, Alain","Lacoursière, Alain",FALSE
"Rowat, Theresa",Canadian Cultural Property Export Review Board,Govenor In Council Appointments,"Rowat, Theresa","Rowat, Theresa",FALSE
"Johnston, Alistair",Canadian Dairy Commission,Govenor In Council Appointments,"Johnston, Alistair","Johnston, Alistair",FALSE
"Hermanson, Elwin",Canadian Grain Commission,Govenor In Council Appointments,"Hermanson, Elwin","Hermanson, Elwin",FALSE
"MacKay, Murdoch",Canadian Grain Commission,Govenor In Council Appointments,"MacKay, Murdoch","MacKay, Murdoch",FALSE
"Smolik, Jim",Canadian Grain Commission,Govenor In Council Appointments,"Smolik, Jim","Smolik, Jim",FALSE
"Boudreault, Richard",Canadian High Arctic Research Station,Govenor In Council Appointments,"Boudreault, Richard","Boudreault, Richard",FALSE
"Huebert, Robert",Canadian High Arctic Research Station,Govenor In Council Appointments,"Huebert, Robert","Huebert, Robert",FALSE
"Nightingale, John",Canadian High Arctic Research Station,Govenor In Council Appointments,"Nightingale, John","Nightingale, John",FALSE
"Scott, David",Canadian High Arctic Research Station,Govenor In Council Appointments,"Scott, David","Scott, David",FALSE
"Erskine, Tara",Canadian Human Rights Commission,Govenor In Council Appointments,"Erskine, Tara","Erskine, Tara",FALSE
"Landry, Marie-Claude",Canadian Human Rights Commission,Govenor In Council Appointments,"Landry, Marie-Claude","Landry, Marie-Claude",FALSE
"Warolin, Peggy",Canadian Human Rights Commission,Govenor In Council Appointments,"Warolin, Peggy","Warolin, Peggy",FALSE
"Cantin, Christiane",Canadian Human Rights Tribunal,Govenor In Council Appointments,"Cantin, Christiane","Cantin, Christiane",FALSE
"Gallivan, Lisa",Canadian Human Rights Tribunal,Govenor In Council Appointments,"Gallivan, Lisa","Gallivan, Lisa",FALSE
"Gupta, Susheel",Canadian Human Rights Tribunal,Govenor In Council Appointments,"Gupta, Susheel","Gupta, Susheel",FALSE
"Luftig, Olga",Canadian Human Rights Tribunal,Govenor In Council Appointments,"Luftig, Olga","Luftig, Olga",FALSE
"Marchildon, Sophie",Canadian Human Rights Tribunal,Govenor In Council Appointments,"Marchildon, Sophie","Marchildon, Sophie",FALSE
"Perrault, Anie",Canadian Human Rights Tribunal,Govenor In Council Appointments,"Perrault, Anie","Perrault, Anie",FALSE
"Ulyatt, George",Canadian Human Rights Tribunal,Govenor In Council Appointments,"Ulyatt, George","Ulyatt, George",FALSE
"Bernier, Jean-Robert",Canadian Institutes of Health Research,Govenor In Council Appointments,"Bernier, Jean-Robert","Bernier, Jean-Robert",FALSE
"Caron, Nadine",Canadian Institutes of Health Research,Govenor In Council Appointments,"Caron, Nadine","Caron, Nadine",FALSE
"Davies, Maura",Canadian Institutes of Health Research,Govenor In Council Appointments,"Davies, Maura","Davies, Maura",FALSE
"Fischer, Debbie",Canadian Institutes of Health Research,Govenor In Council Appointments,"Fischer, Debbie","Fischer, Debbie",FALSE
"Garfinkel, Paul",Canadian Institutes of Health Research,Govenor In Council Appointments,"Garfinkel, Paul","Garfinkel, Paul",FALSE
"Jardine, Lawrence",Canadian Institutes of Health Research,Govenor In Council Appointments,"Jardine, Lawrence","Jardine, Lawrence",FALSE
"Kennedy, Simon",Canadian Institutes of Health Research,Govenor In Council Appointments,"Kennedy, Simon","Kennedy, Simon",FALSE
"Power, Christine",Canadian Institutes of Health Research,Govenor In Council Appointments,"Power, Christine","Power, Christine",FALSE
"Turik, Lori",Canadian Institutes of Health Research,Govenor In Council Appointments,"Turik, Lori","Turik, Lori",FALSE
"Young, Terry-Lynn",Canadian Institutes of Health Research,Govenor In Council Appointments,"Young, Terry-Lynn","Young, Terry-Lynn",FALSE
"McArdle, Andr_",Canadian Intergovernmental Conference Secretariat,Govenor In Council Appointments,"McArdle, Andr_","McArdle, Andr_",FALSE
"B_dard, Jean",Canadian International Trade Tribunal,Govenor In Council Appointments,"B_dard, Jean","B_dard, Jean",FALSE
"Burn, Peter",Canadian International Trade Tribunal,Govenor In Council Appointments,"Burn, Peter","Burn, Peter",FALSE
"Downey, Jason",Canadian International Trade Tribunal,Govenor In Council Appointments,"Downey, Jason","Downey, Jason",FALSE
"Fr_chette, Serge",Canadian International Trade Tribunal,Govenor In Council Appointments,"Fr_chette, Serge","Fr_chette, Serge",FALSE
"Penner, Ann",Canadian International Trade Tribunal,Govenor In Council Appointments,"Penner, Ann","Penner, Ann",FALSE
"Petit, Daniel",Canadian International Trade Tribunal,Govenor In Council Appointments,"Petit, Daniel","Petit, Daniel",FALSE
"Ritcey, Rose",Canadian International Trade Tribunal,Govenor In Council Appointments,"Ritcey, Rose","Ritcey, Rose",FALSE
"Asper, Gail",Canadian Museum for Human Rights,Govenor In Council Appointments,"Asper, Gail","Asper, Gail",FALSE
"Granot, Deena",Canadian Museum for Human Rights,Govenor In Council Appointments,"Granot, Deena","Granot, Deena",FALSE
"Hughes, Eric",Canadian Museum for Human Rights,Govenor In Council Appointments,"Hughes, Eric","Hughes, Eric",FALSE
"Ledohowski, Lindy",Canadian Museum for Human Rights,Govenor In Council Appointments,"Ledohowski, Lindy","Ledohowski, Lindy",FALSE
"Littlechild, Wilton","Canadian Museum for Human Rights,?Indian Residential Schools Truth and Reconciliation Commission",Govenor In Council Appointments,"Littlechild, Wilton","Littlechild, Wilton",FALSE
"Baxter, Judith",Canadian Museum of History,Govenor In Council Appointments,"Baxter, Judith","Baxter, Judith",FALSE
"Bliss, Michael",Canadian Museum of History,Govenor In Council Appointments,"Bliss, Michael","Bliss, Michael",FALSE
"Giguère, Patricia-Jean",Canadian Museum of History,Govenor In Council Appointments,"Giguère, Patricia-Jean","Giguère, Patricia-Jean",FALSE
"Gwyn, Richard",Canadian Museum of History,Govenor In Council Appointments,"Gwyn, Richard","Gwyn, Richard",FALSE
"Langille, Ken",Canadian Museum of History,Govenor In Council Appointments,"Langille, Ken","Langille, Ken",FALSE
"McCreery, Christopher",Canadian Museum of History,Govenor In Council Appointments,"McCreery, Christopher","McCreery, Christopher",FALSE
"O'Neill, Mark",Canadian Museum of History,Govenor In Council Appointments,"O'Neill, Mark","O'Neill, Mark",FALSE
"Thibault, Claude",Canadian Museum of History,Govenor In Council Appointments,"Thibault, Claude","Thibault, Claude",FALSE
"Boudreau, Mark",Canadian Museum of Immigration at Pier 21,Govenor In Council Appointments,"Boudreau, Mark","Boudreau, Mark",FALSE
"Chan, Tung",Canadian Museum of Immigration at Pier 21,Govenor In Council Appointments,"Chan, Tung","Chan, Tung",FALSE
"Chapman, Marie",Canadian Museum of Immigration at Pier 21,Govenor In Council Appointments,"Chapman, Marie","Chapman, Marie",FALSE
"Chiodo, Ralph",Canadian Museum of Immigration at Pier 21,Govenor In Council Appointments,"Chiodo, Ralph","Chiodo, Ralph",FALSE
"LeBlanc, Richard",Canadian Museum of Immigration at Pier 21,Govenor In Council Appointments,"LeBlanc, Richard","LeBlanc, Richard",FALSE
"Myers, Troy",Canadian Museum of Immigration at Pier 21,Govenor In Council Appointments,"Myers, Troy","Myers, Troy",FALSE
"Ross, Carrie",Canadian Museum of Immigration at Pier 21,Govenor In Council Appointments,"Ross, Carrie","Ross, Carrie",FALSE
"Calderoni, Ronald",Canadian Museum of Nature,Govenor In Council Appointments,"Calderoni, Ronald","Calderoni, Ronald",FALSE
"Feasby, Douglas",Canadian Museum of Nature,Govenor In Council Appointments,"Feasby, Douglas","Feasby, Douglas",FALSE
"Joanisse, Martin",Canadian Museum of Nature,Govenor In Council Appointments,"Joanisse, Martin","Joanisse, Martin",FALSE
"Manhas, Reg",Canadian Museum of Nature,Govenor In Council Appointments,"Manhas, Reg","Manhas, Reg",FALSE
"McCarron, Alice",Canadian Museum of Nature,Govenor In Council Appointments,"McCarron, Alice","McCarron, Alice",FALSE
"Neiles, Byron",Canadian Museum of Nature,Govenor In Council Appointments,"Neiles, Byron","Neiles, Byron",FALSE
"Offord, Nicholas",Canadian Museum of Nature,Govenor In Council Appointments,"Offord, Nicholas","Offord, Nicholas",FALSE
"Rankin Nash, Erin",Canadian Museum of Nature,Govenor In Council Appointments,"Rankin Nash, Erin","Rankin Nash, Erin",FALSE
"Binder, Michael",Canadian Nuclear Safety Commission,Govenor In Council Appointments,"Binder, Michael","Binder, Michael",FALSE
"Harvey, Andr_",Canadian Nuclear Safety Commission,Govenor In Council Appointments,"Harvey, Andr_","Harvey, Andr_",FALSE
"Tolgyesi, Dan",Canadian Nuclear Safety Commission,Govenor In Council Appointments,"Tolgyesi, Dan","Tolgyesi, Dan",FALSE
"Velshi, Rumina",Canadian Nuclear Safety Commission,Govenor In Council Appointments,"Velshi, Rumina","Velshi, Rumina",FALSE
"Attia, Paul",Canadian Race Relations Foundation,Govenor In Council Appointments,"Attia, Paul","Attia, Paul",FALSE
"Bromberg, Anita",Canadian Race Relations Foundation,Govenor In Council Appointments,"Bromberg, Anita","Bromberg, Anita",FALSE
"Daud, Aslam",Canadian Race Relations Foundation,Govenor In Council Appointments,"Daud, Aslam","Daud, Aslam",FALSE
"Douglass-Williams, Christine",Canadian Race Relations Foundation,Govenor In Council Appointments,"Douglass-Williams, Christine","Douglass-Williams, Christine",FALSE
"Friedman, Rubin",Canadian Race Relations Foundation,Govenor In Council Appointments,"Friedman, Rubin","Friedman, Rubin",FALSE
"Ghanem, Ashraf",Canadian Race Relations Foundation,Govenor In Council Appointments,"Ghanem, Ashraf","Ghanem, Ashraf",FALSE
"Lo, Albert",Canadian Race Relations Foundation,Govenor In Council Appointments,"Lo, Albert","Lo, Albert",FALSE
"Samsundar, Khamini",Canadian Race Relations Foundation,Govenor In Council Appointments,"Samsundar, Khamini","Samsundar, Khamini",FALSE
"Silberman, Toni",Canadian Race Relations Foundation,Govenor In Council Appointments,"Silberman, Toni","Silberman, Toni",FALSE
"Blais, Jean-Pierre",Canadian Radio-television and Telecommunications Commission,Govenor In Council Appointments,"Blais, Jean-Pierre","Blais, Jean-Pierre",FALSE
"Dupras, Yves",Canadian Radio-television and Telecommunications Commission,Govenor In Council Appointments,"Dupras, Yves","Dupras, Yves",FALSE
"Menzies, Peter",Canadian Radio-television and Telecommunications Commission,Govenor In Council Appointments,"Menzies, Peter","Menzies, Peter",FALSE
"Pentefountas, Athanasios",Canadian Radio-television and Telecommunications Commission,Govenor In Council Appointments,"Pentefountas, Athanasios","Pentefountas, Athanasios",FALSE
"Shoan, Raj",Canadian Radio-television and Telecommunications Commission,Govenor In Council Appointments,"Shoan, Raj","Shoan, Raj",FALSE
"Vennard, Linda",Canadian Radio-television and Telecommunications Commission,Govenor In Council Appointments,"Vennard, Linda","Vennard, Linda",FALSE
"Arki, Louis",Canadian Securities Regulation Regime Transition Office,Govenor In Council Appointments,"Arki, Louis","Arki, Louis",FALSE
"Brown, Peter",Canadian Securities Regulation Regime Transition Office,Govenor In Council Appointments,"Brown, Peter","Brown, Peter",FALSE
"Hashmi, Yousef",Canadian Securities Regulation Regime Transition Office,Govenor In Council Appointments,"Hashmi, Yousef","Hashmi, Yousef",FALSE
"Hinds, James",Canadian Securities Regulation Regime Transition Office,Govenor In Council Appointments,"Hinds, James","Hinds, James",FALSE
"Linn, Dale",Canadian Securities Regulation Regime Transition Office,Govenor In Council Appointments,"Linn, Dale","Linn, Dale",FALSE
"MacDougall, Gary",Canadian Securities Regulation Regime Transition Office,Govenor In Council Appointments,"MacDougall, Gary","MacDougall, Gary",FALSE
"Morris, Winston",Canadian Securities Regulation Regime Transition Office,Govenor In Council Appointments,"Morris, Winston","Morris, Winston",FALSE
"Pretorius, Frederik",Canadian Securities Regulation Regime Transition Office,Govenor In Council Appointments,"Pretorius, Frederik","Pretorius, Frederik",FALSE
"Coulombe, Michel",Canadian Security Intelligence Service,Govenor In Council Appointments,"Coulombe, Michel","Coulombe, Michel",FALSE
"Laporte, Sylvain",Canadian Space Agency,Govenor In Council Appointments,"Laporte, Sylvain","Laporte, Sylvain",FALSE
"Allison, Scott",Canadian Tourism Commission,Govenor In Council Appointments,"Allison, Scott","Allison, Scott",FALSE
"Ilich, Olga",Canadian Tourism Commission,Govenor In Council Appointments,"Ilich, Olga","Ilich, Olga",FALSE
"Matovic, Dragan",Canadian Tourism Commission,Govenor In Council Appointments,"Matovic, Dragan","Matovic, Dragan",FALSE
"Poudrette, Danielle",Canadian Tourism Commission,Govenor In Council Appointments,"Poudrette, Danielle","Poudrette, Danielle",FALSE
"Tsang, Rita",Canadian Tourism Commission,Govenor In Council Appointments,"Tsang, Rita","Tsang, Rita",FALSE
"Ackermans, Faye",Canadian Transportation Accident Investigation and Safety Board,Govenor In Council Appointments,"Ackermans, Faye","Ackermans, Faye",FALSE
"Gosselin, H_lène",Canadian Transportation Accident Investigation and Safety Board,Govenor In Council Appointments,"Gosselin, H_lène","Gosselin, H_lène",FALSE
"Hincke, Joseph",Canadian Transportation Accident Investigation and Safety Board,Govenor In Council Appointments,"Hincke, Joseph","Hincke, Joseph",FALSE
RLB LLP,Canadian Turkey Marketing Agency,Govenor In Council Appointments,RLB LLP,RLB LLP,FALSE
Welch LLP,"Chicken Farmers of Canada,?Canadian Hatching Egg Producers",Govenor In Council Appointments,Welch LLP,Welch LLP,FALSE
"Brum Bozzi, Renata",Citizenship Commission,Govenor In Council Appointments,"Brum Bozzi, Renata","Brum Bozzi, Renata",FALSE
"Giroux, Ren_e",Citizenship Commission,Govenor In Council Appointments,"Giroux, Ren_e","Giroux, Ren_e",FALSE
"Gravill, Larry",Citizenship Commission,Govenor In Council Appointments,"Gravill, Larry","Gravill, Larry",FALSE
"Janega, Ann",Citizenship Commission,Govenor In Council Appointments,"Janega, Ann","Janega, Ann",FALSE
"Johnson, Veronica",Citizenship Commission,Govenor In Council Appointments,"Johnson, Veronica","Johnson, Veronica",FALSE
"McCrae, James",Citizenship Commission,Govenor In Council Appointments,"McCrae, James","McCrae, James",FALSE
"Minor, Dane",Citizenship Commission,Govenor In Council Appointments,"Minor, Dane","Minor, Dane",FALSE
"Mozeson, Laurie",Citizenship Commission,Govenor In Council Appointments,"Mozeson, Laurie","Mozeson, Laurie",FALSE
"Nguyen, Trang",Citizenship Commission,Govenor In Council Appointments,"Nguyen, Trang","Nguyen, Trang",FALSE
"O'Malley, Terrence",Citizenship Commission,Govenor In Council Appointments,"O'Malley, Terrence","O'Malley, Terrence",FALSE
"Osmane, Farid",Citizenship Commission,Govenor In Council Appointments,"Osmane, Farid","Osmane, Farid",FALSE
"Paine, Andrea",Citizenship Commission,Govenor In Council Appointments,"Paine, Andrea","Paine, Andrea",FALSE
"Persichilli, Angelo",Citizenship Commission,Govenor In Council Appointments,"Persichilli, Angelo","Persichilli, Angelo",FALSE
"Rokerya, Rafiq",Citizenship Commission,Govenor In Council Appointments,"Rokerya, Rafiq","Rokerya, Rafiq",FALSE
"Sami, Marian",Citizenship Commission,Govenor In Council Appointments,"Sami, Marian","Sami, Marian",FALSE
"Sen_cal-Tremblay, Marie",Citizenship Commission,Govenor In Council Appointments,"Sen_cal-Tremblay, Marie","Sen_cal-Tremblay, Marie",FALSE
"Siew, Nancy",Citizenship Commission,Govenor In Council Appointments,"Siew, Nancy","Siew, Nancy",FALSE
"Sniegowski, Wojciech",Citizenship Commission,Govenor In Council Appointments,"Sniegowski, Wojciech","Sniegowski, Wojciech",FALSE
"Taschereau, Myriam",Citizenship Commission,Govenor In Council Appointments,"Taschereau, Myriam","Taschereau, Myriam",FALSE
"Vachon, Normand",Citizenship Commission,Govenor In Council Appointments,"Vachon, Normand","Vachon, Normand",FALSE
"Wong, Albert",Citizenship Commission,Govenor In Council Appointments,"Wong, Albert","Wong, Albert",FALSE
"Wong, Roy",Citizenship Commission,Govenor In Council Appointments,"Wong, Roy","Wong, Roy",FALSE
