OriginalName,Organizations,Type,CleanName,CleanNameNoMiddle,IsDuplicate
"Bellemare, Dominique M.",Social Security Tribunal,Govenor In Council Appointments,"Bellemare, Dominique","Bellemare, Dominique",FALSE
"Bennett, Claude F.",Royal Canadian Mint,Govenor In Council Appointments,"Bennett, Claude","Bennett, Claude",FALSE
"Beresford, Aidan B.",Social Security Tribunal,Govenor In Council Appointments,"Beresford, Aidan","Beresford, Aidan",FALSE
"Bertrand, Stephan J.",Public Service Labour Relations and Employment Board,Govenor In Council Appointments,"Bertrand, Stephan","Bertrand, Stephan",FALSE
"Brown, Robert L.",Payments in lieu of Taxes Dispute Advisory Panel,Govenor In Council Appointments,"Brown, Robert","Brown, Robert",FALSE
"Bruce, Howard M.",Parole Board of Canada,Govenor In Council Appointments,"Bruce, Howard","Bruce, Howard",FALSE
"Caleffi, Vincent E.",Parole Board of Canada,Govenor In Council Appointments,"Caleffi, Vincent","Caleffi, Vincent",FALSE
"Campbell, Diane O.",Tax Court of Canada-Judges,Govenor In Council Appointments,"Campbell, Diane","Campbell, Diane",FALSE
"Chankasingh, Dev A.",Public Service Labour Relations and Employment Board,Govenor In Council Appointments,"Chankasingh, Dev","Chankasingh, Dev",FALSE
"Clark, Colin L.",Standards Council of Canada,Govenor In Council Appointments,"Clark, Colin","Clark, Colin",FALSE
"Corcoran, Kevin P.",Parole Board of Canada,Govenor In Council Appointments,"Corcoran, Kevin","Corcoran, Kevin",FALSE
"Crane, Mary G.",Parole Board of Canada,Govenor In Council Appointments,"Crane, Mary","Crane, Mary",FALSE
"Crowley, Michael F.",Parole Board of Canada,Govenor In Council Appointments,"Crowley, Michael","Crowley, Michael",FALSE
"Cunningham, Lorraine S.",Pacific Pilotage Authority,Govenor In Council Appointments,"Cunningham, Lorraine","Cunningham, Lorraine",FALSE
"Dawson, Catherine J.",Parole Board of Canada,Govenor In Council Appointments,"Dawson, Catherine","Dawson, Catherine",FALSE
"Derrick, Elmer P.",Prince Rupert Port Authority,Govenor In Council Appointments,"Derrick, Elmer","Derrick, Elmer",FALSE
"Feltham, Glenn D.",Standards Council of Canada,Govenor In Council Appointments,"Feltham, Glenn","Feltham, Glenn",FALSE
"Foster, Julia E.",Social Sciences and Humanities Research Council,Govenor In Council Appointments,"Foster, Julia","Foster, Julia",FALSE
"Fowler, Ian S.",Parole Board of Canada,Govenor In Council Appointments,"Fowler, Ian","Fowler, Ian",FALSE
"Gallini, Nancy T.",Social Sciences and Humanities Research Council,Govenor In Council Appointments,"Gallini, Nancy","Gallini, Nancy",FALSE
"Gaulton, Peter G.",Saint John Port Authority,Govenor In Council Appointments,"Gaulton, Peter","Gaulton, Peter",FALSE
"Gibbs, Robert B.",Social Sciences and Humanities Research Council,Govenor In Council Appointments,"Gibbs, Robert","Gibbs, Robert",FALSE
"Gray, Bryan R.",Public Service Labour Relations and Employment Board,Govenor In Council Appointments,"Gray, Bryan","Gray, Bryan",FALSE
